,Name,Price,Market-Cap
101,Kyber Network Crystal v2,$1.89,"$336,490,690"
102,OMG Network,$2.40,"$336,484,703"
103,Lido DAO,$1.06,"$331,088,306"
104,Moonbeam,$1.19,"$325,745,833"
105,ICON,$0.3526,"$324,201,444"
106,0x,$0.3711,"$314,544,748"
107,Oasis Network,$0.06155,"$309,421,932"
108,Bancor,$1.21,"$303,208,928"
109,IOST,$0.01604,"$298,182,971"
110,JUST,$0.04012,"$292,878,262"
111,Symbol,$0.05239,"$292,479,839"
112,Theta Fuel,$0.05493,"$291,210,770"
113,Ankr,$0.03566,"$291,118,123"
114,Livepeer,$12.02,"$287,159,762"
115,Siacoin,$0.005619,"$286,590,428"
116,Synthetix,$2.48,"$284,695,232"
117,Gemini Dollar,$1.00,"$282,305,529"
118,Ravencoin,$0.0263,"$275,452,561"
119,SwissBorg,$0.2727,"$272,663,074"
120,yearn.finance,"$7,396.08","$270,975,421"
121,Secret,$1.64,"$267,207,746"
122,Audius,$0.3728,"$265,955,261"
123,Serum,$1.01,"$265,117,863"
124,Golem,$0.2445,"$244,504,018"
125,Dogelon Mars,$0.0000004415,"$243,554,357"
126,Braintrust,$2.66,"$240,745,947"
127,Horizen,$18.88,"$234,728,406"
128,Ontology,$0.2631,"$230,313,320"
129,WAX,$0.1085,"$221,799,397"
130,SXP,$0.4559,"$221,416,396"
131,SKALE Network,$0.06252,"$218,938,171"
132,APENFT,$0.0000007761,"$215,041,690"
133,Immutable X,$0.8812,"$207,330,277"
134,UMA,$3.09,"$205,025,184"
135,Hive,$0.4705,"$204,511,592"
136,Voyager Token,$0.7312,"$203,630,330"
137,MXC,$0.07681,"$202,938,916"
138,Storj,$0.5135,"$200,622,309"
139,Ethereum Name Service,$9.76,"$197,526,756"
140,Polymath,$0.2185,"$196,307,070"
141,renBTC,"$28,612.24","$188,388,234"
142,Casper,$0.03694,"$184,989,986"
143,PlayDapp,$0.5078,"$184,248,929"
144,SushiSwap,$1.44,"$183,285,066"
145,Render Token,$0.7,"$177,657,232"
146,Trust Wallet Token,$0.6123,"$176,408,975"
147,Conflux,$0.09295,"$169,794,049"
148,DigiByte,$0.01101,"$169,171,617"
149,WOO Network,$0.1602,"$168,711,208"
150,Illuvium,$257.63,"$167,681,313"
151,Keep Network,$0.2001,"$157,946,986"
152,Rally,$0.05614,"$156,298,129"
153,Flux,$0.6493,"$152,446,574"
154,Lisk,$1.15,"$147,981,254"
155,MX TOKEN,$1.47,"$146,824,331"
156,Persistence,$1.41,"$143,072,008"
157,Nano,$1.07,"$142,356,326"
158,Acala Token,$0.3485,"$142,351,356"
159,Nervos Network,$0.004252,"$141,754,625"
160,WINkLink,$0.0001453,"$139,694,556"
161,MediBloc,$0.02566,"$138,120,107"
162,Velas,$0.05987,"$137,963,124"
163,DigitalBits,$0.141,"$135,089,069"
164,Orbs,$0.04693,"$135,020,238"
165,Chia,$32.93,"$132,389,700"
166,Ren,$0.1314,"$131,270,051"
167,CEEK VR,$0.1639,"$130,506,499"
168,DAO Maker,$1.83,"$129,681,158"
169,Celsius,$0.5295,"$126,483,125"
170,Telcoin,$0.002029,"$124,321,049"
171,Ocean Protocol,$0.199,"$122,034,723"
172,Ontology Gas,$0.3936,"$121,847,493"
173,Powerledger,$0.2492,"$120,952,234"
174,Ellipsis,$0.1666,"$120,542,630"
175,Pundi X (New),$0.4658,"$120,414,565"
176,Status,$0.03453,"$119,852,319"
177,Divi,$0.04134,"$119,644,544"
178,XYO,$0.009065,"$116,440,874"
179,Syscoin,$0.1787,"$115,234,293"
180,Request,$0.1144,"$114,401,587"
181,Chromia,$0.2014,"$114,246,570"
182,Celer Network,$0.01644,"$114,073,879"
183,COTI,$0.1082,"$113,427,521"
184,Constellation,$0.08949,"$113,377,699"
185,Spell Token,$0.001223,"$111,704,473"
186,dYdX,$1.68,"$110,072,697"
187,NuCypher,$0.1565,"$110,054,534"
188,Injective,$1.93,"$109,364,309"
189,Ardor,$0.109,"$108,882,076"
190,Frax Share,$6.70,"$108,601,217"
191,Dent,$0.001093,"$108,217,802"
192,Tribe,$0.2336,"$105,940,999"
193,Ultra,$0.3466,"$105,189,488"
194,ConstitutionDAO,$0.02072,"$104,860,649"
195,Fetch.ai,$0.1405,"$104,802,288"
196,Wirex Token,$0.01041,"$104,116,895"
197,Civic,$0.1544,"$103,465,976"
198,Coin98,$0.5488,"$101,529,354"
199,Cartesi,$0.1776,"$100,683,742"
200,HEX,$0.06125,"$10,620,950,281"
201,Wrapped TRON,$0.07981,"$8,114,471,530"
202,Lido Staked ETH,"$1,687.82","$5,886,663,992"
203,yOUcash,$0.5001,"$4,209,810,991"
204,Bitcoin BEP2,"$28,615.09","$3,010,304,759"
205,Chain,$0.175,"$2,967,321,855"
206,Wrapped BNB,$299.21,"$1,543,608,071"
207,Toncoin,$1.23,"$1,504,159,491"
208,Frax,$0.9987,"$1,415,435,630"
209,BitTorrent,$0.001261,"$1,248,577,281"
210,Huobi BTC,"$28,600.74","$1,114,584,700"
211,DeFiChain,$2.17,"$1,110,543,052"
212,Terra Classic,$0.000126,"$823,657,479"
213,Liquity USD,$1.01,"$723,211,370"
214,Safe,$28.18,"$587,166,017"
215,WEMIX,$4.31,"$530,825,276"
216,Tether Gold,"$1,855.56","$457,439,958"
217,BitDAO,$0.7223,"$423,464,225"
218,Sapphire,$0.7436,"$399,734,196"
219,HUSD,$0.999,"$397,406,523"
220,The Transfer Token,$3.45,"$376,608,577"
221,Osmosis,$1.33,"$376,589,917"
222,NXM,$56.45,"$368,089,969"
223,Threshold,$0.04277,"$352,685,899"
224,Counos X,$19.66,"$352,227,035"
225,Fruits,$0.01582,"$333,329,577"
226,LINK,$50.41,"$301,215,946"
227,Everscale,$0.2163,"$266,310,870"
228,BinaryX,$131.12,"$265,246,567"
229,Bitpanda Ecosystem Token,$0.6171,"$217,910,622"
230,LooksRare,$0.4748,"$212,187,975"
231,KOK,$1.92,"$206,289,736"
232,Astar,$0.05454,"$186,059,348"
233,Humanscape,$0.2271,"$170,679,169"
234,Project Galaxy,$4.59,"$161,533,795"
235,Rocket Pool,$15.37,"$158,008,921"
236,RadioCaca,$0.000492,"$150,995,895"
237,MobileCoin,$1.90,"$140,647,221"
238,VVS Finance,$0.000007819,"$139,598,805"
239,MVL,$0.005952,"$137,071,450"
240,Wrapped Velas,$0.05996,"$136,649,116"
241,TitanSwap,$2.55,"$136,138,222"
242,STASIS EURO,$1.07,"$132,565,241"
243,Chainbing,$3.85,"$127,081,328"
244,XSGD,$0.7231,"$127,040,432"
245,AVINOC,$0.3166,"$123,228,072"
246,Biswap,$0.5521,"$121,734,622"
247,PlatonCoin,$1.03,"$117,401,494"
248,Pirate Chain,$0.6042,"$116,303,396"
249,inSure DeFi,$0.004149,"$111,152,133"
250,Green Satoshi Token (SOL),$1.95,"$110,471,350"
251,Sologenic,$0.275,"$109,971,254"
252,WhiteCoin,$0.1436,"$106,903,760"
253,Aurora,$2.88,"$106,033,613"
254,1eco,$3.97,"$105,049,336"
255,USDX [Kava],$0.8259,"$104,642,635"
256,Creditcoin,$0.498,"$103,207,871"
257,Venus USDC,$0.02154,"$102,744,706"
258,Hxro,$0.2405,"$101,553,198"
259,Augur,$9.11,"$100,166,034"
260,Function X,$0.2451,"$100,117,071"
261,Locus Chain,$0.1135,"$99,848,381"
262,Raydium,$0.8953,"$99,547,326"
263,Decentralized Social,$11.15,"$99,036,013"
264,ASD,$0.1491,"$98,504,447"
265,FUNToken,$0.008769,"$96,243,207"
266,OriginTrail,$0.2624,"$95,811,595"
267,Maple,$21.68,"$95,790,762"
268,DEAPcoin,$0.01904,"$95,646,779"
269,XCAD Network,$3.91,"$94,984,496"
270,Steem,$0.2404,"$94,887,373"
271,Sun (New),$0.008933,"$93,679,911"
272,sUSD,$0.9948,"$92,647,543"
273,Vulcan Forged PYR,$3.85,"$91,749,789"
274,Anyswap,$4.90,"$91,386,850"
275,RSK Smart Bitcoin,"$28,623.69","$90,431,923"
276,Revain,$0.001045,"$88,900,003"
277,StormX,$0.00887,"$88,699,630"
278,WazirX,$0.2295,"$87,624,286"
279,Moonriver,$20.83,"$86,904,550"
280,MetisDAO,$20.01,"$86,671,910"
281,Biconomy,$0.659,"$86,046,182"
282,Liquity,$1.20,"$85,957,028"
283,Mdex,$0.09565,"$85,604,822"
284,Mines of Dalarnia,$0.4106,"$85,605,614"
285,GensoKishi Metaverse,$0.7617,"$84,496,100"
286,HedgeTrade,$0.2412,"$84,124,838"
287,Metal,$1.26,"$84,076,726"
288,Mrweb Finance,$0.0084,"$83,972,012"
289,Orchid,$0.1215,"$83,927,817"
290,Bitcoin Standard Hashrate Token,$6.87,"$83,849,456"
291,VeThor Token,$0.001834,"$83,672,128"
292,Rari Governance Token,$6.63,"$82,613,842"
293,ABBC Coin,$0.08277,"$82,281,996"
294,aelf,$0.151,"$82,191,627"
295,JOE,$0.3018,"$82,012,923"
296,Perpetual Protocol,$1.07,"$81,494,708"
297,Centrifuge,$0.3345,"$81,225,701"
298,Alien Worlds,$0.03106,"$81,099,850"
299,Hyperion,$0.3962,"$80,736,533"
300,Dawn Protocol,$1.08,"$79,636,874"
301,Reserve Rights,$0.005364,"$79,396,021"
302,Metadium,$0.04702,"$79,341,428"
303,Verge,$0.004728,"$78,029,414"
304,MyNeighborAlice,$2.55,"$77,894,553"
305,Rakon,$0.3205,"$77,825,105"
306,Strike,$24.33,"$77,731,494"
307,Aavegotchi,$1.49,"$76,822,839"
308,Stratis,$0.5576,"$76,563,828"
309,Alchemy Pay,$0.01679,"$76,246,532"
310,Hoo Token,$0.9244,"$76,201,304"
311,Origin Protocol,$0.1948,"$75,708,742"
312,Energy Web Token,$2.51,"$75,557,525"
313,Bifrost (BFC),$0.0675,"$74,956,167"
314,Orbit Chain,$0.1239,"$74,783,792"
315,SOMESING,$0.02799,"$74,079,872"
316,Anchor Protocol,$0.2111,"$73,758,094"
317,Telos,$0.273,"$73,752,298"
318,MaidSafeCoin,$0.1616,"$73,153,664"
319,RSK Infrastructure Framework,$0.08596,"$73,146,400"
320,Reef,$0.003755,"$73,012,427"
321,Uquid Coin,$7.30,"$72,980,760"
322,Metahero,$0.01424,"$72,547,182"
323,SuperFarm,$0.1765,"$71,039,642"
324,Prometeus,$4.30,"$70,692,226"
325,Sport and Leisure,$0.1035,"$70,251,476"
326,Utrust,$0.1488,"$69,946,582"
327,Badger DAO,$5.57,"$69,901,039"
328,NEST Protocol,$0.024,"$69,894,744"
329,QuarkChain,$0.01089,"$69,692,614"
330,Yield Guild Games,$0.6067,"$69,623,938"
331,MOBOX,$0.8684,"$69,345,025"
332,Metacraft,$1.32,"$69,337,614"
333,ssv.network,$6.93,"$69,321,544"
334,Bridge Oracle,$0.008645,"$69,177,857"
335,Ark,$0.501,"$68,794,537"
336,Boba Network,$0.4269,"$67,971,688"
337,Propy,$0.9112,"$67,829,700"
338,Numeraire,$11.48,"$67,622,959"
339,MovieBloc,$0.00495,"$66,964,109"
340,Dero,$5.31,"$66,600,856"
341,Standard Tokenization Protocol,$0.04289,"$66,506,647"
342,Ergo,$2.07,"$66,165,399"
343,Radicle,$2.12,"$65,357,856"
344,Klever,$0.01916,"$65,095,455"
345,SingularityNET,$0.06185,"$65,073,953"
346,Adshares,$2.45,"$64,451,944"
347,ZEON,$0.002098,"$64,057,498"
348,Aragon,$1.61,"$63,699,724"
349,Origin Dollar,$0.9968,"$63,390,541"
350,Freeway Token,$0.01159,"$63,237,534"
351,GlitzKoin,$0.2545,"$62,984,097"
352,Efforce,$0.1194,"$62,921,266"
353,Alpha Venture DAO,$0.1404,"$62,686,176"
354,LUKSO,$4.11,"$62,550,114"
355,Bloktopia,$0.007477,"$62,349,479"
356,iExec RLC,$0.7755,"$62,199,100"
357,Shentu,$0.7733,"$62,027,504"
358,Loom Network,$0.04764,"$61,928,808"
359,e-Radix,$0.08339,"$61,281,217"
360,Celo Dollar,$0.9965,"$61,256,933"
361,cVault.finance,"$5,982.08","$59,820,840"
362,Veritaseum,$27.80,"$59,760,103"
363,Splintershards,$0.08638,"$59,751,045"
364,ZB Token,$0.129,"$59,750,508"
365,Cratos,$0.001683,"$58,913,034"
366,Venus BUSD,$0.02155,"$58,070,109"
367,Ampleforth,$0.8826,"$58,047,772"
368,NKN,$0.08287,"$58,012,318"
369,Dvision Network,$0.1621,"$57,863,541"
370,Electroneum,$0.003229,"$57,861,195"
371,API3,$1.54,"$57,008,594"
372,SafeMoon,$0.0000001006,"$56,581,737"
373,CENNZnet,$0.04684,"$56,206,488"
374,JasmyCoin,$0.01175,"$55,850,026"
375,Everipedia,$0.005554,"$55,654,655"
376,Mango,$0.05562,"$55,621,272"
377,BoringDAO,$386.99,"$55,588,680"
378,Enzyme,$26.55,"$55,573,487"
379,dKargo,$0.05444,"$55,403,186"
380,Darma Cash,$0.2521,"$54,836,192"
381,Vai,$0.9521,"$54,743,462"
382,KardiaChain,$0.01529,"$54,482,066"
383,ONUS,$0.5534,"$54,220,575"
384,Aleph.im,$0.2608,"$53,374,508"
385,ThunderCore,$0.005867,"$53,334,759"
386,Sperax,$0.04932,"$53,258,427"
387,BakeryToken,$0.2736,"$52,955,149"
388,HUNT,$0.4797,"$52,933,598"
389,DeversiFi,$2.18,"$52,654,143"
390,Qcash,$0.1129,"$51,950,330"
391,Polkastarter,$0.5564,"$51,872,225"
392,Band Protocol,$1.47,"$51,567,127"
393,Energi,$0.9735,"$51,562,494"
394,World Mobile Token,$0.2109,"$51,448,781"
395,Venus,$4.21,"$51,235,819"
396,Aergo,$0.1397,"$51,223,522"
397,UFO Gaming,$0.000001957,"$50,410,599"
398,Nestree,$0.01975,"$50,439,234"
399,Dusk Network,$0.1249,"$49,855,513"
400,STAKE,$5.86,"$49,525,560"
401,DeFi Pulse Index,$88.20,"$49,304,351"
402,Deeper Network,$0.03946,"$49,274,622"
403,Proton,$0.004039,"$48,941,917"
404,Mask Network,$1.68,"$48,877,038"
405,Orion Protocol,$1.42,"$48,540,957"
406,Shapeshift FOX Token,$0.1305,"$48,300,300"
407,Ankr Reward Bearing Staked ETH,"$1,637.28","$48,021,322"
408,Beta Finance,$0.1195,"$48,007,990"
409,AIOZ Network,$0.08242,"$47,798,224"
410,IDEX,$0.07181,"$47,446,496"
411,Starlink,$0.000004745,"$47,347,962"
412,Ribbon Finance,$0.2901,"$47,037,668"
413,YooShi,$0.0000001255,"$46,967,671"
414,LCX,$0.06171,"$46,730,278"
415,TomoChain,$0.5122,"$46,491,122"
416,Akash Network,$0.4063,"$46,259,184"
417,CONUN,$0.0159,"$46,075,896"
418,HI,$0.09096,"$45,816,793"
419,Balancer,$6.56,"$45,577,365"
420,Alpha Quark Token,$1.73,"$45,034,626"
421,TrueFi,$0.08176,"$44,880,850"
422,Cocos-BCX,$0.6692,"$44,746,433"
423,Carry,$0.005062,"$44,500,215"
424,Ampleforth Governance Token,$2.88,"$44,029,142"
425,AXEL,$0.1547,"$43,792,893"
426,Alitas,$0.7195,"$43,169,034"
427,FLETA,$0.02154,"$43,076,289"
428,Hifi Finance,$0.004261,"$42,612,544"
429,Alpaca Finance,$0.2993,"$42,388,537"
430,XeniosCoin,$0.5545,"$42,295,361"
431,Unibright,$0.2812,"$42,178,894"
432,GMT Token,$0.1598,"$42,119,845"
433,Alchemix,$32.11,"$41,954,575"
434,Merit Circle,$0.9833,"$41,879,437"
435,Beefy Finance,$575.93,"$41,466,631"
436,Chimpion,$1.30,"$41,249,580"
437,Moss Coin,$0.1116,"$40,977,550"
438,mStable USD,$0.9973,"$40,975,038"
439,Genopets,$10.79,"$40,814,125"
440,SafePal,$0.376,"$40,674,131"
441,Presearch,$0.1022,"$40,534,827"
442,RMRK,$4.20,"$39,904,082"
443,Sovryn,$1.86,"$39,477,678"
444,MonaCoin,$0.598,"$39,303,510"
445,Alpine F1 Team Fan Token,$3.45,"$39,241,321"
446,PlatON,$0.01427,"$39,120,959"
447,Wanchain,$0.2025,"$39,031,119"
448,CONTRACOIN,$0.8242,"$39,005,794"
449,CoinLoan,$19.97,"$38,941,203"
450,Syntropy,$0.06867,"$38,670,132"
451,BabySwap,$0.176,"$38,405,144"
452,Bitcoin Diamond,$0.205,"$38,226,593"
453,OpenDAO,$0.0000003809,"$38,094,356"
454,Voxies,$0.5873,"$37,597,407"
455,MiL.k,$0.4799,"$37,508,724"
456,Seedify.fund,$1.52,"$37,357,025"
457,Toko Token,$0.343,"$37,211,998"
458,Marlin,$0.009522,"$37,198,153"
459,ARPA Chain,$0.02982,"$37,063,039"
460,Covalent,$0.1453,"$37,032,873"
461,Hathor,$0.1598,"$36,971,252"
462,Elastos,$1.81,"$36,916,338"
463,Tokenlon Network Token,$0.8257,"$36,790,665"
464,Handshake,$0.07394,"$36,551,573"
465,Vectorspace AI,$0.9136,"$36,539,714"
466,KILT Protocol,$0.739,"$36,523,322"
467,VerusCoin,$0.527,"$36,122,819"
468,PolySwarm,$0.02326,"$35,972,320"
469,TrustSwap,$0.3672,"$35,831,565"
470,Sentinel Protocol,$0.07764,"$35,700,336"
471,Cobak Token,$1.17,"$35,608,699"
472,BitShares,$0.01187,"$35,560,591"
473,TROY,$0.003951,"$35,184,746"
474,Velo,$0.02858,"$35,153,080"
475,GXChain,$0.4676,"$35,068,863"
476,Elitium,$1.25,"$34,897,789"
477,MimbleWimbleCoin,$3.20,"$34,713,055"
478,SpookySwap,$3.66,"$34,392,074"
479,Refereum,$0.006879,"$34,389,834"
480,Neutrino Token,$12.62,"$34,335,911"
481,Adventure Gold,$0.4827,"$33,869,521"
482,CLV,$0.1295,"$33,806,237"
483,Qredo,$0.4786,"$33,646,376"
484,Phala Network,$0.1234,"$33,569,728"
485,Victoria VR,$0.04603,"$33,554,445"
486,Hydra,$3.88,"$33,410,957"
487,EverRise,$0.0005199,"$33,213,416"
488,Travala.com,$0.6436,"$32,975,249"
489,Super Zero Protocol,$0.09222,"$32,783,743"
490,LTO Network,$0.08312,"$32,642,321"
491,Kava Swap,$0.9629,"$32,596,704"
492,RIZON,$0.01871,"$32,339,019"
493,Rai Reflex Index,$3.00,"$32,288,359"
494,Woodcoin,$4.02,"$32,261,833"
495,Groestlcoin,$0.4025,"$32,253,546"
496,Venus USDT,$0.02169,"$32,234,813"
497,Gitcoin,$2.26,"$32,133,089"
498,Alethea Artificial Liquid Intelligence Token,$0.02879,"$32,103,015"
499,Ultiledger,$0.01117,"$31,692,853"
500,FirmaChain,$0.06847,"$31,238,958"
501,DIA,$0.4251,"$30,778,842"
502,Linear Finance,$0.008479,"$30,750,914"
503,Ethernity,$2.03,"$30,751,731"
504,PEAKDEFI,$0.02242,"$30,364,355"
505,ICHI,$6.40,"$30,342,525"
506,Zelwin,$0.4161,"$30,099,649"
507,TokenPocket,$0.008673,"$30,063,421"
508,Drep [new],$0.7524,"$30,019,312"
509,SifChain,$0.02082,"$29,920,713"
510,BitMart Token,$0.1702,"$29,559,576"
511,NewYork Exchange,$4.16,"$29,463,528"
512,Ambire AdEx,$0.2061,"$29,377,488"
513,League of Kingdoms Arena,$1.16,"$29,228,067"
514,Phantasma,$0.277,"$29,181,855"
515,SingularityDAO,$0.7563,"$29,165,077"
516,DerivaDAO,$1.11,"$28,901,592"
517,Contentos,$0.007027,"$28,876,859"
518,RichQUACK.com,$0.0...06537,"$28,820,922"
519,Reserve,$0.9977,"$28,785,567"
520,RChain,$0.04315,"$28,768,748"
521,Circuits of Value,$0.0161,"$28,764,278"
522,Verasity,$0.006434,"$28,763,343"
523,Assemble Protocol,$0.02518,"$28,745,965"
524,district0x,$0.04786,"$28,714,980"
525,Komodo,$0.2173,"$28,646,486"
526,CoinEx Token,$0.04034,"$28,584,274"
527,USDK,$0.9929,"$28,397,235"
528,BTSE,$6.51,"$28,360,652"
529,Wrapped NXM,$16.90,"$28,338,543"
530,Harvest Finance,$41.86,"$28,335,223"
531,YIELD App,$0.1674,"$28,311,784"
532,IRISnet,$0.0219,"$28,225,337"
533,Steem Dollars,$2.49,"$28,209,879"
534,CUDOS,$0.009903,"$28,157,821"
535,Terra Virtua Kolect,$0.03826,"$28,037,339"
536,Decentral Games,$0.05372,"$27,840,135"
537,ZIMBOCASH,$0.01738,"$27,652,571"
538,Unifty,$15.91,"$27,636,996"
539,Cortex,$0.1403,"$27,400,730"
540,Peony,$0.1123,"$27,459,486"
541,Flamingo,$0.08785,"$27,434,055"
542,Efinity Token,$0.1606,"$27,271,404"
543,H2O DAO,$0.6017,"$27,157,153"
544,Kava Lend,$0.2231,"$27,047,420"
545,Swarm,$0.5628,"$27,011,518"
546,DXdao,$547.43,"$26,999,036"
547,Boson Protocol,$0.3376,"$26,970,176"
548,BioPassport Token,$0.01527,"$26,805,847"
549,Aeternity,$0.07522,"$26,712,795"
550,Gas,$2.63,"$26,670,102"
551,Smooth Love Potion,$0.004948,"$26,595,386"
552,ApolloX,$0.05416,"$26,338,842"
553,LATOKEN,$0.0691,"$26,263,908"
554,Tornado Cash,$23.84,"$26,214,917"
555,SIX,$0.09546,"$26,134,151"
556,DAD,$0.05688,"$26,068,303"
557,Paris Saint-Germain Fan Token,$8.28,"$25,760,680"
558,bZx Protocol,$0.05659,"$25,430,797"
559,BSCPAD,$0.3208,"$25,408,982"
560,MixMarvel,$0.005387,"$25,320,854"
561,Wilder World,$0.2965,"$25,271,861"
562,Bloomzed Loyalty Club Ticket,$0.6581,"$25,007,464"
563,AMO Coin,$0.001294,"$24,818,749"
564,Automata Network,$0.1428,"$24,604,337"
565,SuperRare,$0.2417,"$24,592,806"
566,Bluzelle,$0.07571,"$24,578,663"
567,Keep3rV1,$121.40,"$24,279,970"
568,Streamr,$0.03124,"$23,964,769"
569,FIO Protocol,$0.04837,"$24,024,942"
570,Maro,$0.03263,"$23,222,245"
571,Haven Protocol,$0.869,"$23,210,527"
572,MANTRA DAO,$0.04961,"$23,140,677"
573,DeRace,$0.4242,"$23,009,956"
574,BarnBridge,$3.41,"$23,032,173"
575,Kin,$0.00001322,"$22,969,807"
576,Oxen,$0.3903,"$22,819,888"
577,Tranchess,$0.2779,"$22,716,747"
578,Frontier,$0.2452,"$22,671,099"
579,QuickSwap,$69.05,"$22,587,082"
580,DigixDAO,$301.76,"$22,473,224"
581,Rarible,$2.91,"$22,395,110"
582,Highstreet,$1.82,"$22,354,824"
583,Somnium Space Cubes,$1.78,"$22,251,082"
584,Quantstamp,$0.0313,"$22,343,459"
585,KeeperDAO,$35.72,"$22,060,208"
586,Marinade Staked SOL,$44.29,"$22,055,908"
587,HOPR,$0.1318,"$21,991,890"
588,Measurable Data Token,$0.03243,"$21,924,653"
589,Firo,$1.65,"$21,899,788"
590,Molecular Future,$0.0004375,"$21,875,250"
591,Kleros,$0.03496,"$21,837,848"
592,Shiba Predator,$0.00000003642,"$21,849,799"
593,Mirror Protocol,$0.2783,"$21,635,702"
594,RFOX,$0.01644,"$21,571,798"
595,MAP Protocol,$0.01227,"$21,533,799"
596,GYEN,$0.007855,"$21,474,766"
597,TABOO TOKEN,$0.00218,"$21,321,689"
